id,key,value,type
11685697,name_type,Rd,tiger
11685697,zip_right,15221,tiger
11685989,name,Woodland Circle,unspecified
11685989,highway,residential,unspecified
11685989,cfcc,A41,tiger
11685989,reviewed,no,tiger
11685989,zip_left,15101,tiger
11685989,name_base,Woodland,tiger
11685989,name_type,Cir,tiger
11685989,zip_right,15101,tiger
11686108,name,Delwar Road,unspecified
11686108,highway,tertiary,unspecified
11686108,cfcc,A41,tiger
11686108,reviewed,no,tiger
11686108,zip_left,15236,tiger
11686108,name_base,Delwar,tiger
11686108,name_type,Rd,tiger
11686108,zip_right,15236,tiger
11686341,name,Briarwood Drive,unspecified
11686341,highway,residential,unspecified
11686341,cfcc,A41,tiger
11686341,reviewed,no,tiger
11686341,zip_left,15135,tiger
11686341,name_base,Briarwood,tiger
11686341,name_type,Dr,tiger
11686341,zip_right,15135,tiger
11686532,name,Monongahela Boulevard,unspecified
11686532,highway,residential,unspecified
11686532,cfcc,A41,tiger
11686532,reviewed,no,tiger
11686532,zip_left,15132,tiger
11686532,name_base,Monongahela,tiger
11686532,name_type,Blvd,tiger
11686532,zip_right,15132,tiger
11686672,name,Haverford Road,unspecified
11686672,highway,residential,unspecified
11686672,cfcc,A41,tiger
11686672,reviewed,no,tiger
11686672,zip_left,15238,tiger
11686672,name_base,Haverford,tiger
11686672,name_type,Rd,tiger
11686672,zip_right,15238,tiger
11686818,name,George Way,unspecified
11686818,highway,service,unspecified
11686818,service,alley,unspecified
11686818,cfcc,A41,tiger
11686818,zip_left,15233,tiger
11686818,name_base,George,tiger
11686818,name_type,Way,tiger
11686818,zip_right,15233,tiger
11687012,name,Colleen Drive,unspecified
11687012,highway,residential,unspecified
11687012,cfcc,A41,tiger
11687012,reviewed,no,tiger
11687012,name_base,Colleen,tiger
11687012,name_type,Dr,tiger
11687216,name,Brutus Way,unspecified
11687216,highway,service,unspecified
11687216,service,alley,unspecified
11687216,cfcc,A41,tiger
11687216,reviewed,no,tiger
11687216,name_base,Brutus,tiger
11687216,name_type,Way,tiger
11687410,name,Orange Street,unspecified
11687410,highway,residential,unspecified
11687410,cfcc,A41,tiger
11687410,reviewed,no,tiger
11687410,zip_left,15146,tiger
11687410,name_base,Orange,tiger
11687410,name_type,St,tiger
11687410,zip_right,15146,tiger
11687537,name,Bellaire Place,unspecified
11687537,highway,residential,unspecified
